contractId,subscriptionYear,policyYear,propertyType,surface,riskZone,formula,franchise,premiumHT,brokerCommission,coverageStartDate,coverageEndDate,cancellationDate,cancellationReason
MRH_2022_00041,2022,1,Appartement,86,2,Confort,500,206.15,41.23,2023-06-09,2024-06-08,,
MRH_2022_00041,2022,2,Appartement,86,2,Confort,500,212.34,42.47,2024-06-09,2025-06-08,,
MRH_2022_00042,2022,0,Appartement,20,3,Confort,300,130.0,26.0,2022-01-04,2023-01-03,,
MRH_2022_00042,2022,1,Appartement,20,3,Confort,300,133.9,26.78,2023-01-04,2024-01-03,,
MRH_2022_00042,2022,2,Appartement,20,3,Confort,300,137.92,27.58,2024-01-04,2025-01-03,,
MRH_2022_00043,2022,0,Appartement,71,3,Essentielle,300,175.53,35.11,2022-07-20,2023-07-19,,
MRH_2022_00043,2022,1,Appartement,71,3,Essentielle,300,180.8,36.16,2023-07-20,2024-07-19,,
MRH_2022_00043,2022,2,Appartement,71,3,Essentielle,300,186.22,37.24,2024-07-20,2025-07-19,,
MRH_2022_00044,2022,0,Maison,118,2,Essentielle,500,235.5,47.1,2022-01-17,2023-01-16,,
MRH_2022_00044,2022,1,Maison,118,2,Essentielle,500,242.56,48.51,2023-01-17,2024-01-16,,
MRH_2022_00044,2022,2,Maison,118,2,Essentielle,500,249.84,49.97,2024-01-17,2025-01-16,,
MRH_2022_00045,2022,0,Maison,116,2,Essentielle,300,253.56,50.71,2022-10-11,2023-10-10,,
MRH_2022_00045,2022,1,Maison,116,2,Essentielle,300,261.17,52.23,2023-10-11,2024-10-10,,
MRH_2022_00045,2022,2,Maison,116,2,Essentielle,300,269.0,53.8,2024-10-11,2025-10-10,,
MRH_2022_00046,2022,0,Maison,60,3,Confort,300,230.0,46.0,2022-07-23,2023-07-22,,
MRH_2022_00046,2022,1,Maison,60,3,Confort,300,236.9,47.38,2023-07-23,2024-07-22,,
MRH_2022_00046,2022,2,Maison,60,3,Confort,300,244.01,48.8,2024-07-23,2025-07-22,,
MRH_2022_00047,2022,0,Appartement,99,5,Confort,300,335.48,67.1,2022-07-18,2023-07-17,,
MRH_2022_00047,2022,1,Appartement,99,5,Confort,300,345.54,69.11,2023-07-18,2024-07-17,,
MRH_2022_00047,2022,2,Appartement,99,5,Confort,300,355.91,71.18,2024-07-18,2025-07-17,,
MRH_2022_00048,2022,0,Appartement,51,4,Confort,300,202.97,40.59,2022-08-15,2023-08-14,,
MRH_2022_00048,2022,1,Appartement,51,4,Confort,300,209.06,41.81,2023-08-15,2024-08-14,,
MRH_2022_00048,2022,2,Appartement,51,4,Confort,300,215.33,43.07,2024-08-15,2025-08-14,,
MRH_2022_00049,2022,0,Appartement,101,2,Essentielle,300,203.09,40.62,2022-02-27,2023-02-26,,
MRH_2022_00049,2022,1,Appartement,101,2,Essentielle,300,209.18,41.84,2023-02-27,2024-02-26,,
MRH_2022_00049,2022,2,Appartement,101,2,Essentielle,300,215.46,43.09,2024-02-27,2025-02-26,,
MRH_2022_00050,2022,0,Appartement,39,4,Essentielle,150,170.43,34.09,2022-04-16,2023-04-15,,
MRH_2022_00050,2022,1,Appartement,39,4,Essentielle,150,175.54,35.11,2023-04-16,2024-04-15,,
MRH_2022_00050,2022,2,Appartement,39,4,Essentielle,150,180.81,36.16,2024-04-16,2025-04-15,,
MRH_2022_00051,2022,0,Appartement,89,3,Confort,500,214.82,42.96,2022-04-05,2023-04-04,,
MRH_2022_00051,2022,1,Appartement,89,3,Confort,500,221.26,44.25,2023-04-05,2024-04-04,,
MRH_2022_00051,2022,2,Appartement,89,3,Confort,500,38.71,7.74,2024-04-05,2024-06-05,2024-06-05,Insatisfaction service
MRH_2022_00052,2022,0,Appartement,43,4,Confort,500,174.04,34.81,2022-01-18,2023-01-17,,
MRH_2022_00052,2022,1,Appartement,43,4,Confort,500,179.26,35.85,2023-01-18,2024-01-17,,
MRH_2022_00052,2022,2,Appartement,43,4,Confort,500,184.64,36.93,2024-01-18,2025-01-17,,
MRH_2022_00053,2022,0,Appartement,76,5,Confort,500,265.79,53.16,2022-10-27,2023-10-26,,
MRH_2022_00053,2022,1,Appartement,76,5,Confort,500,273.76,54.75,2023-10-27,2024-10-26,,
MRH_2022_00053,2022,2,Appartement,76,5,Confort,500,281.98,56.4,2024-10-27,2025-10-26,,
MRH_2022_00054,2022,0,Maison,63,3,Premium,500,280.46,56.09,2022-08-09,2023-08-08,,
MRH_2022_00054,2022,1,Maison,63,3,Premium,500,288.87,57.77,2023-08-09,2024-08-08,,
MRH_2022_00054,2022,2,Maison,63,3,Premium,500,297.54,59.51,2024-08-09,2025-08-08,,
MRH_2022_00055,2022,0,Appartement,69,2,Confort,300,193.32,38.66,2022-04-09,2023-04-08,,
MRH_2022_00055,2022,1,Appartement,69,2,Confort,300,199.12,39.82,2023-04-09,2024-04-08,,
MRH_2022_00055,2022,2,Appartement,69,2,Confort,300,205.09,41.02,2024-04-09,2025-04-08,,
MRH_2022_00056,2022,0,Appartement,36,2,Confort,300,146.3,29.26,2022-12-07,2023-12-06,,
MRH_2022_00056,2022,1,Appartement,36,2,Confort,300,88.35,17.67,2023-12-07,2024-07-07,2024-07-07,Concurrent moins cher
MRH_2022_00057,2022,0,Appartement,50,3,Premium,150,250.25,50.05,2022-10-13,2023-10-12,,
MRH_2022_00057,2022,1,Appartement,50,3,Premium,150,257.76,51.55,2023-10-13,2024-10-12,,
MRH_2022_00057,2022,2,Appartement,50,3,Premium,150,265.49,53.1,2024-10-13,2025-10-12,,
MRH_2022_00058,2022,0,Appartement,73,2,Premium,500,238.03,47.61,2022-09-24,2023-09-23,,
MRH_2022_00058,2022,1,Appartement,73,2,Premium,500,245.17,49.03,2023-09-24,2024-09-23,,
MRH_2022_00058,2022,2,Appartement,73,2,Premium,500,252.53,50.51,2024-09-24,2025-09-23,,
MRH_2022_00059,2022,0,Maison,88,3,Confort,500,250.24,50.05,2022-12-06,2023-12-05,,
MRH_2022_00059,2022,1,Maison,88,3,Confort,500,257.75,51.55,2023-12-06,2024-12-05,,
MRH_2022_00059,2022,2,Maison,88,3,Confort,500,265.48,53.1,2024-12-06,2025-12-05,,
MRH_2022_00060,2022,0,Maison,122,3,Premium,150,461.89,92.38,2022-02-21,2023-02-20,,
MRH_2022_00060,2022,1,Maison,122,3,Premium,150,475.75,95.15,2023-02-21,2024-02-20,,
MRH_2022_00060,2022,2,Maison,122,3,Premium,150,490.02,98.0,2024-02-21,2025-02-20,,
MRH_2022_00061,2022,0,Appartement,63,3,Essentielle,500,152.1,30.42,2022-05-25,2023-05-24,,
MRH_2022_00061,2022,1,Appartement,63,3,Essentielle,500,156.66,31.33,2023-05-25,2024-05-24,,
MRH_2022_00061,2022,2,Appartement,63,3,Essentielle,500,161.36,32.27,2024-05-25,2025-05-24,,
MRH_2022_00062,2022,0,Maison,155,3,Confort,150,409.75,81.95,2022-06-08,2023-06-07,,
MRH_2022_00062,2022,1,Maison,155,3,Confort,150,422.04,84.41,2023-06-08,2024-06-07,,
MRH_2022_00062,2022,2,Maison,155,3,Confort,150,434.7,86.94,2024-06-08,2025-06-07,,
MRH_2022_00063,2022,0,Maison,122,2,Essentielle,300,260.82,52.16,2022-04-05,2023-04-04,,
MRH_2022_00063,2022,1,Maison,122,2,Essentielle,300,268.64,53.73,2023-04-05,2024-04-04,,
MRH_2022_00063,2022,2,Maison,122,2,Essentielle,300,276.7,55.34,2024-04-05,2025-04-04,,
MRH_2022_00064,2022,0,Maison,50,3,Essentielle,300,182.75,36.55,2022-03-20,2023-03-19,,
MRH_2022_00064,2022,1,Maison,50,3,Essentielle,300,188.23,37.65,2023-03-20,2024-03-19,,
MRH_2022_00064,2022,2,Maison,50,3,Essentielle,300,193.88,38.78,2024-03-20,2025-03-19,,
MRH_2022_00065,2022,0,Appartement,92,1,Essentielle,300,171.95,34.39,2022-10-22,2023-10-21,,
MRH_2022_00065,2022,1,Appartement,92,1,Essentielle,300,177.11,35.42,2023-10-22,2024-10-21,,
MRH_2022_00065,2022,2,Appartement,92,1,Essentielle,300,182.42,36.48,2024-10-22,2025-10-21,,
MRH_2022_00066,2022,0,Maison,50,2,Confort,300,204.25,40.85,2022-02-23,2023-02-22,,
MRH_2022_00066,2022,1,Maison,50,2,Confort,300,210.38,42.08,2023-02-23,2024-02-22,,
MRH_2022_00066,2022,2,Maison,50,2,Confort,300,216.69,43.34,2024-02-23,2025-02-22,,
MRH_2022_00067,2022,0,Maison,203,4,Essentielle,500,399.74,79.95,2022-11-12,2023-11-11,,
MRH_2022_00067,2022,1,Maison,203,4,Essentielle,500,379.02,75.8,2023-11-12,2024-10-12,2024-10-12,Concurrent moins cher
MRH_2022_00068,2022,0,Appartement,114,3,Confort,500,249.32,49.86,2022-06-21,2023-06-20,,
MRH_2022_00068,2022,1,Appartement,114,3,Confort,500,256.8,51.36,2023-06-21,2024-06-20,,
MRH_2022_00068,2022,2,Appartement,114,3,Confort,500,264.5,52.9,2024-06-21,2025-06-20,,
MRH_2022_00069,2022,0,Appartement,78,3,Confort,500,199.64,39.93,2022-08-14,2023-08-13,,
MRH_2022_00069,2022,1,Appartement,78,3,Confort,500,205.63,41.13,2023-08-14,2024-08-13,,
MRH_2022_00069,2022,2,Appartement,78,3,Confort,500,211.8,42.36,2024-08-14,2025-08-13,,
MRH_2022_00070,2022,0,Appartement,92,2,Premium,300,293.93,58.79,2022-08-08,2023-08-07,,
MRH_2022_00070,2022,1,Appartement,92,2,Premium,300,302.75,60.55,2023-08-08,2024-08-07,,
MRH_2022_00070,2022,2,Appartement,92,2,Premium,300,311.83,62.37,2024-08-08,2025-08-07,,
MRH_2022_00071,2022,0,Maison,95,2,Confort,300,268.38,53.68,2022-05-11,2023-05-10,,
MRH_2022_00071,2022,1,Maison,95,2,Confort,300,276.43,55.29,2023-05-11,2024-05-10,,
MRH_2022_00071,2022,2,Maison,95,2,Confort,300,284.72,56.94,2024-05-11,2025-05-10,,
MRH_2022_00072,2022,0,Maison,159,3,Confort,300,378.5,75.7,2022-02-08,2023-02-07,,
MRH_2022_00072,2022,1,Maison,159,3,Confort,300,389.86,77.97,2023-02-08,2024-02-07,,
MRH_2022_00072,2022,2,Maison,159,3,Confort,300,401.55,80.31,2024-02-08,2025-02-07,,
MRH_2022_00073,2022,0,Maison,98,3,Confort,150,315.7,63.14,2022-05-08,2023-05-07,,
MRH_2022_00073,2022,1,Maison,98,3,Confort,150,325.17,65.03,2023-05-08,2024-05-07,,
MRH_2022_00073,2022,2,Maison,98,3,Confort,150,334.93,66.99,2024-05-08,2025-05-07,,
MRH_2022_00074,2022,0,Maison,66,2,Confort,300,227.05,45.41,2022-07-24,2023-07-23,,
MRH_2022_00074,2022,1,Maison,66,2,Confort,300,233.86,46.77,2023-07-24,2024-07-23,,
MRH_2022_00074,2022,2,Maison,66,2,Confort,300,240.88,48.18,2024-07-24,2025-07-23,,
MRH_2022_00075,2022,0,Appartement,58,3,Essentielle,300,158.95,31.79,2022-04-07,2023-04-06,,
MRH_2022_00075,2022,1,Appartement,58,3,Essentielle,300,163.72,32.74,2023-04-07,2024-04-06,,
MRH_2022_00075,2022,2,Appartement,58,3,Essentielle,300,168.63,33.73,2024-04-07,2025-04-06,,
MRH_2022_00076,2022,0,Appartement,81,4,Confort,150,280.2,56.04,2022-04-10,2023-04-09,,
MRH_2022_00076,2022,1,Appartement,81,4,Confort,150,288.61,57.72,2023-04-10,2024-04-09,,
MRH_2022_00076,2022,2,Appartement,81,4,Confort,150,297.26,59.45,2024-04-10,2025-04-09,,
MRH_2022_00077,2022,0,Appartement,45,5,Confort,300,226.13,45.23,2022-11-28,2023-11-27,,
MRH_2022_00077,2022,1,Appartement,45,5,Confort,300,232.91,46.58,2023-11-28,2024-11-27,,
MRH_2022_00077,2022,2,Appartement,45,5,Confort,300,239.9,47.98,2024-11-28,2025-11-27,,
MRH_2022_00078,2022,0,Appartement,60,2,Confort,300,180.5,36.1,2022-03-02,2023-03-01,,
MRH_2022_00078,2022,1,Appartement,60,2,Confort,300,185.91,37.18,2023-03-02,2024-03-01,,
MRH_2022_00078,2022,2,Appartement,60,2,Confort,300,191.49,38.3,2024-03-02,2025-03-01,,
MRH_2022_00079,2022,0,Appartement,91,3,Confort,300,236.5,47.3,2022-03-26,2023-03-25,,
MRH_2022_00079,2022,1,Appartement,91,3,Confort,300,243.59,48.72,2023-03-26,2024-03-25,,
MRH_2022_00079,2022,2,Appartement,91,3,Confort,300,250.9,50.18,2024-03-26,2025-03-25,,
MRH_2022_00080,2022,0,Maison,138,1,Confort,300,294.95,58.99,2022-09-13,2023-09-12,,
MRH_2022_00080,2022,1,Maison,138,1,Confort,300,303.8,60.76,2023-09-13,2024-09-12,,
MRH_2022_00080,2022,2,Maison,138,1,Confort,300,312.91,62.58,2024-09-13,2025-09-12,,
MRH_2022_00081,2022,0,Maison,154,3,Confort,150,408.1,81.62,2022-04-21,2023-04-20,,
MRH_2022_00081,2022,1,Maison,154,3,Confort,150,420.34,84.07,2023-04-21,2024-04-20,,
MRH_2022_00081,2022,2,Maison,154,3,Confort,150,432.95,86.59,2024-04-21,2025-04-20,,
MRH_2022_00082,2022,0,Appartement,63,2,Essentielle,150,172.76,34.55,2022-07-15,2023-07-14,,
MRH_2022_00082,2022,1,Appartement,63,2,Essentielle,150,177.94,35.59,2023-07-15,2024-07-14,,
MRH_2022_00082,2022,2,Appartement,63,2,Essentielle,150,183.28,36.66,2024-07-15,2025-07-14,,
MRH_2022_00083,2022,0,Appartement,60,4,Essentielle,300,185.72,37.14,2022-05-26,2023-05-25,,
MRH_2022_00083,2022,1,Appartement,60,4,Essentielle,300,191.29,38.26,2023-05-26,2024-05-25,,
MRH_2022_00083,2022,2,Appartement,60,4,Essentielle,300,197.03,39.41,2024-05-26,2025-05-25,,
MRH_2022_00084,2022,0,Maison,151,2,Essentielle,300,295.95,59.19,2022-11-05,2023-11-04,,
MRH_2022_00084,2022,1,Maison,151,2,Essentielle,300,304.83,60.97,2023-11-05,2024-11-04,,
MRH_2022_00084,2022,2,Maison,151,2,Essentielle,300,313.97,62.79,2024-11-05,2025-11-04,,
MRH_2022_00085,2022,0,Appartement,75,3,Confort,300,212.5,42.5,2022-08-04,2023-08-03,,
MRH_2022_00085,2022,1,Appartement,75,3,Confort,300,218.88,43.78,2023-08-04,2024-08-03,,
MRH_2022_00085,2022,2,Appartement,75,3,Confort,300,225.44,45.09,2024-08-04,2025-08-03,,
MRH_2022_00086,2022,0,Appartement,83,2,Confort,500,196.21,39.24,2022-02-20,2023-02-19,,
MRH_2022_00086,2022,1,Appartement,83,2,Confort,500,117.94,23.59,2023-02-20,2023-09-20,2023-09-20,Concurrent moins cher
